sampling_strategy,selector_pair,defense,removed_total,removed_poison,removed_clean,poison_total,poison_recall,poison_removal_precision,clean_false_positive_rate,clean_accuracy,watermarked_malware_detection_rate,watermarked_malware_evasion_rate,detection_rate_delta_vs_baseline,evasion_rate_delta_vs_baseline
cosine similarity,combined_shap + combined_shap,isolation_forest,2985,1,2984,600.0,0.0016666666666666,0.00033500837520938025,0.0363419357195922,0.876815,0.1639246554930996,0.8360753445069005,0.0418649101353365,-0.04186491013533644
distribution based,combined_shap + combined_shap,isolation_forest,2817,2,2815,600.0,0.0033333333333333,0.0007099751508697196,0.034283696062551,0.87586,0.0556143577939227,0.9443856422060772,0.007409082034260599,-0.007409082034260606
feature based distance,combined_shap + combined_shap,isolation_forest,2925,0,2925,600.0,0.0,0.0,0.0356233786795601,0.877415,0.105001387276109,0.8949986127238909,0.04244037281760919,-0.04244037281760904
jaccard distance,combined_shap + combined_shap,isolation_forest,2749,2,2747,600.0,0.0033333333333333,0.0007275372862859222,0.0334555286265817,0.88984,0.1154830289889326,0.8845169710110674,-0.01668841778590731,0.01668841778590735
mahalanobis,combined_shap + combined_shap,isolation_forest,2811,0,2811,600.0,0.0,0.0,0.0342349803310233,0.875395,0.1160173871939,0.8839826128060999,0.008251723819016912,-0.008251723819016954
random,combined_shap + combined_shap,isolation_forest,2718,3,2715,600.0,0.005,0.0011037527593818985,0.0330658027743609,0.890205,0.1602663570129376,0.8397336429870623,-0.007871507403944017,0.007871507403943934
shap contribution,combined_shap + combined_shap,isolation_forest,2616,3,2613,600.0,0.005,0.0011467889908256881,0.031823551620407,0.87723,0.1091734917225858,0.8908265082774142,0.0278071788969613,-0.02780717889696127
wasserstein,combined_shap + combined_shap,isolation_forest,3214,0,3214,600.0,0.0,0.0,0.0391430902824294,0.885755,0.1009012156649163,0.8990987843350837,-0.006278708908367792,0.006278708908367903
cosine similarity,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2684,592,2092,600.0,0.9866666666666668,0.22056631892697467,0.0254783275889366,0.89522,0.8622486204309805,0.1377513795690195,0.8153484118257582,-0.8153484118257581
distribution based,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2695,600,2095,600.0,1.0,0.22263450834879406,0.0255148643875823,0.89992,0.902695426099288,0.0973045739007121,0.8923370978183801,-0.8923370978183799
feature based distance,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2863,600,2263,600.0,1.0,0.20957038071952497,0.0275609251117417,0.897075,0.889891381418721,0.1101086185812789,0.8589808144852178,-0.8589808144852178
jaccard distance,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2610,600,2010,600.0,1.0,0.22988505747126436,0.0244796550926207,0.902705,0.8275153371080946,0.1724846628919054,0.7437855168374217,-0.7437855168374217
mahalanobis,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2268,72,2196,600.0,0.12,0.031746031746031744,0.0267449366086543,0.884405,0.151408342153669,0.848591657846331,0.047701745912673496,-0.04770174591267351
random,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2733,597,2136,600.0,0.995,0.21844127332601537,0.0260142006357402,0.872465,0.896827761963972,0.103172238036028,0.7888154717252578,-0.7888154717252577
shap contribution,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2713,600,2113,600.0,1.0,0.22115739034279394,0.0257340851794565,0.89863,0.8963242321169833,0.1036757678830166,0.8611182473050877,-0.8611182473050878
wasserstein,shap_largest_abs + argmin_Nv_sum_abs_shap,isolation_forest,2745,400,2345,600.0,0.6666666666666666,0.14571948998178508,0.0285595976080575,0.877895,0.1758757822695837,0.8241242177304162,0.1388920288142386,-0.13889202881423857
cosine similarity,shap_largest_abs + min_population_new,isolation_forest,2599,600,1999,600.0,1.0,0.2308580223162755,0.0243456868309198,0.88117,0.5401128317902028,0.4598871682097972,0.5367936452478087,-0.5367936452478086
distribution based,shap_largest_abs + min_population_new,isolation_forest,2555,600,1955,600.0,1.0,0.23483365949119372,0.0238098137841162,0.907315,0.7282480244160595,0.2717519755839405,0.7273026214380403,-0.7273026214380401
feature based distance,shap_largest_abs + min_population_new,isolation_forest,2634,600,2034,600.0,1.0,0.22779043280182232,0.0247719494817864,0.8764,0.8266624192040118,0.1733375807959881,0.8231788147523971,-0.8231788147523971
jaccard distance,shap_largest_abs + min_population_new,isolation_forest,2530,600,1930,600.0,1.0,0.23715415019762845,0.0235053404620687,0.90317,0.4584485115041156,0.5415514884958844,0.4560747279397409,-0.4560747279397408
mahalanobis,shap_largest_abs + min_population_new,isolation_forest,2687,600,2087,600.0,1.0,0.22329735764793449,0.0254174329245271,0.8729,0.7123611439376034,0.2876388560623966,0.7056713902561838,-0.7056713902561836
random,shap_largest_abs + min_population_new,isolation_forest,2561,600,1961,600.0,1.0,0.23428348301444749,0.0238828873814076,0.88396,0.5197661155241334,0.4802338844758665,0.5144430857131114,-0.5144430857131113
shap contribution,shap_largest_abs + min_population_new,isolation_forest,2685,600,2085,600.0,1.0,0.22346368715083798,0.0253930750587633,0.896935,0.7418638825234039,0.2581361174765961,0.7395928601522922,-0.7395928601522921
wasserstein,shap_largest_abs + min_population_new,isolation_forest,2773,600,2173,600.0,1.0,0.21637216011539848,0.0264648211523706,0.888,0.5089453618735421,0.4910546381264579,0.5071367648721138,-0.5071367648721137
cosine similarity,combined_shap + combined_shap,spectral_signature,600,0,600,600.0,0.0,0.0,0.0073073597291405,0.893625,0.158241961505657,0.841758038494343,0.03618221614789391,-0.03618221614789385
distribution based,combined_shap + combined_shap,spectral_signature,600,4,596,600.0,0.0066666666666666,0.006666666666666667,0.0072586439976129,0.88847,0.0474551190488423,0.9525448809511576,-0.0007501567108198007,0.0007501567108197937
feature based distance,combined_shap + combined_shap,spectral_signature,600,40,560,600.0,0.0666666666666666,0.06666666666666667,0.0068202024138644,0.88807,0.1165825737568464,0.8834174262431536,0.054021559298346594,-0.0540215592983464
jaccard distance,combined_shap + combined_shap,spectral_signature,600,9,591,600.0,0.015,0.015,0.0071977493332034,0.896365,0.1337745213897423,0.8662254786102577,0.001603074614902389,-0.001603074614902389
mahalanobis,combined_shap + combined_shap,spectral_signature,600,3,597,600.0,0.005,0.005,0.0072708229304948,0.902595,0.1047342081736253,0.8952657918263747,-0.0030314552012577906,0.0030314552012578044
random,combined_shap + combined_shap,spectral_signature,600,4,596,600.0,0.0066666666666666,0.006666666666666667,0.0072586439976129,0.90518,0.171261804692076,0.8287381953079239,0.0031239402751943868,-0.00312394027519447
shap contribution,combined_shap + combined_shap,spectral_signature,600,15,585,600.0,0.025,0.025,0.007124675735912,0.871435,0.0920432008056477,0.9079567991943522,0.010676887980023211,-0.010676887980023197
wasserstein,combined_shap + combined_shap,spectral_signature,600,34,566,600.0,0.0566666666666666,0.056666666666666664,0.0068932760111559,0.894265,0.0967599395764183,0.9032400604235816,-0.010419984996865791,0.010419984996865805
cosine similarity,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,0,600,600.0,0.0,0.0,0.0073073597291405,0.891245,0.0728474099041238,0.927152590095876,0.025947201298901504,-0.0259472012989016
distribution based,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,2,598,600.0,0.0033333333333333,0.0033333333333333335,0.0072830018633767,0.873865,0.0097623133599827,0.9902376866400172,-0.0005960149209251996,0.000596014920925203
feature based distance,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,0,600,600.0,0.0,0.0,0.0073073597291405,0.87672,0.0394294698550039,0.960570530144996,0.008518902921500704,-0.008518902921500704
jaccard distance,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,1,599,600.0,0.0016666666666666,0.0016666666666666668,0.0072951807962586,0.899765,0.0649245219035483,0.9350754780964516,-0.018805298367124593,0.018805298367124634
mahalanobis,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,0,600,600.0,0.0,0.0,0.0073073597291405,0.881345,0.1180417827011807,0.8819582172988193,0.014335186460185195,-0.014335186460185168
random,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,2,598,600.0,0.0033333333333333,0.0033333333333333335,0.0072830018633767,0.87415,0.0830002157985058,0.9169997842014942,-0.025012074440208393,0.025012074440208476
shap contribution,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,3,597,600.0,0.005,0.005,0.0072708229304948,0.87639,0.0216620595398353,0.9783379404601646,-0.013543925272060303,0.013543925272060275
wasserstein,shap_largest_abs + argmin_Nv_sum_abs_shap,spectral_signature,600,0,600,600.0,0.0,0.0,0.0073073597291405,0.86816,0.0301193057453783,0.9698806942546216,-0.006864447709966803,0.006864447709966859
cosine similarity,shap_largest_abs + min_population_new,spectral_signature,600,50,550,600.0,0.0833333333333333,0.08333333333333333,0.0066984130850454,0.86884,0.0038227163893827,0.9961772836106172,0.0005035298469885999,-0.0005035298469886484
distribution based,shap_largest_abs + min_population_new,spectral_signature,600,122,478,600.0,0.2033333333333333,0.20333333333333334,0.0058215299175486,0.890495,0.0011817537225242,0.9988182462774756,0.00023635074450489998,-0.00023635074450500948
feature based distance,shap_largest_abs + min_population_new,spectral_signature,600,104,496,600.0,0.1733333333333333,0.17333333333333334,0.0060407507094228,0.882745,0.0056724178681162,0.9943275821318838,0.0021888134165014,-0.002188813416501456
jaccard distance,shap_largest_abs + min_population_new,spectral_signature,600,24,576,600.0,0.04,0.04,0.0070150653399749,0.864095,0.0031547686331733,0.9968452313668268,0.0007809850687985997,-0.0007809850687984232
mahalanobis,shap_largest_abs + min_population_new,spectral_signature,600,152,448,600.0,0.2533333333333333,0.25333333333333335,0.0054561619310915,0.880455,0.0123005148335782,0.9876994851664216,0.0056107611521585,-0.005610761152158639
random,shap_largest_abs + min_population_new,spectral_signature,600,7,593,600.0,0.0116666666666666,0.011666666666666667,0.0072221071989672,0.87165,0.0049222611572965,0.9950777388427036,-0.0004007686537255998,0.000400768653725736
shap contribution,shap_largest_abs + min_population_new,spectral_signature,600,132,468,600.0,0.22,0.22,0.0056997405887296,0.88397,0.0017263880468179,0.998273611953182,-0.0005446343242938002,0.0005446343242937468
wasserstein,shap_largest_abs + min_population_new,spectral_signature,600,77,523,600.0,0.1283333333333333,0.12833333333333333,0.0063695818972341,0.883175,0.0041515522078242,0.9958484477921756,0.0023429552063959,-0.002342955206395936
